timestamp,experiment_name,model_type,optimizer,lr,batch_size,dropout,augmentation,initialization,accuracy,f1_macro,f1_per_class,train_time_sec,epochs_run,best_epoch,num_params,flops,gpu_mem_mb,device,seed,config_file,slurm_job_id
2026-04-21T01:35:02.124927,ablation_augmentation_crop_flip,simple_cnn,adamw,0.001,128,0.3,crop_flip,he,0.907,0.90651,"[0.8555, 0.9898, 0.8606, 0.9009, 0.8474, 0.9754, 0.7299, 0.9576, 0.9847, 0.9633]",238.47,50,50,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_crop_flip.yaml,11980572
2026-04-21T01:38:15.544820,ablation_augmentation_hflip,simple_cnn,adamw,0.001,128,0.3,hflip,he,0.9176,0.91847,"[0.8669, 0.9902, 0.8741, 0.9087, 0.8849, 0.977, 0.7841, 0.9549, 0.984, 0.96]",160.66,38,33,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_hflip.yaml,11980573
2026-04-21T01:41:01.180075,ablation_augmentation_none,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",117.91,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_augmentation_none.yaml,11980574
2026-04-21T01:41:27.947499,ablation_batch_size_128,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",107.86,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_128.yaml,11980575
2026-04-21T01:43:31.121645,ablation_batch_size_256,simple_cnn,adamw,0.001,256,0.3,none,he,0.9145,0.91479,"[0.8727, 0.9878, 0.8704, 0.9061, 0.8742, 0.9733, 0.7661, 0.9524, 0.9781, 0.9668]",85.08,28,23,207018,1293312,79.4,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_256.yaml,11980576
2026-04-21T01:59:19.719530,ablation_batch_size_32,simple_cnn,adamw,0.001,32,0.3,none,he,0.917,0.91692,"[0.8711, 0.9888, 0.8763, 0.9043, 0.8751, 0.9761, 0.7676, 0.9579, 0.9816, 0.9704]",151.89,23,18,207018,1293312,45.7,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_32.yaml,11980577
2026-04-21T02:01:50.828457,ablation_batch_size_64,simple_cnn,adamw,0.001,64,0.3,none,he,0.918,0.91831,"[0.8677, 0.9892, 0.877, 0.9065, 0.8786, 0.9754, 0.7802, 0.9569, 0.9867, 0.9648]",106.76,21,16,207018,1293312,45.7,NVIDIA A100-SXM4-80GB,42,ablation_batch_size_64.yaml,11980578
2026-04-21T02:04:26.225567,ablation_dropout_00,simple_cnn,adamw,0.001,128,0.0,none,he,0.9114,0.91211,"[0.849, 0.9828, 0.8616, 0.8938, 0.8774, 0.9765, 0.7757, 0.9565, 0.9797, 0.9682]",93.28,24,19,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_dropout_00.yaml,11980579
2026-04-21T02:06:59.055394,ablation_dropout_025,simple_cnn,adamw,0.001,128,0.25,none,he,0.9117,0.91144,"[0.8631, 0.9826, 0.862, 0.9086, 0.8742, 0.9794, 0.7388, 0.9581, 0.9795, 0.9681]",107.84,28,23,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_dropout_025.yaml,11980580
2026-04-21T02:09:24.965559,ablation_dropout_04,simple_cnn,adamw,0.001,128,0.4,none,he,0.9171,0.91753,"[0.87, 0.9878, 0.8839, 0.9088, 0.877, 0.9764, 0.7608, 0.9606, 0.9825, 0.9674]",108.84,28,23,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_dropout_04.yaml,11980581
2026-04-21T02:11:01.891202,ablation_initialization_default,simple_cnn,adamw,0.001,128,0.3,none,default,0.9182,0.91843,"[0.8664, 0.9889, 0.8858, 0.9085, 0.8715, 0.9788, 0.7746, 0.9598, 0.9848, 0.9653]",59.17,15,10,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_initialization_default.yaml,11980583
2026-04-21T02:11:54.936376,ablation_dropout_05,simple_cnn,adamw,0.001,128,0.5,none,he,0.9108,0.91183,"[0.8537, 0.9863, 0.8706, 0.9028, 0.8641, 0.9772, 0.7598, 0.9546, 0.9836, 0.9655]",110.15,30,25,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_dropout_05.yaml,11980582
2026-04-21T02:13:27.520313,ablation_initialization_xavier,simple_cnn,adamw,0.001,128,0.3,none,xavier,0.916,0.9166,"[0.8772, 0.9887, 0.8612, 0.9075, 0.8653, 0.9762, 0.7762, 0.9609, 0.983, 0.9698]",58.95,16,11,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_initialization_xavier.yaml,11980585
2026-04-21T02:13:45.706508,ablation_initialization_he,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",115.1,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_initialization_he.yaml,11980584
2026-04-21T02:16:20.046640,ablation_lr_0001,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",116.54,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_0001.yaml,11980587
2026-04-21T02:17:30.486231,ablation_lr_00001,simple_cnn,adamw,0.0001,128,0.3,none,he,0.8996,0.89972,"[0.8433, 0.9844, 0.8532, 0.9009, 0.8478, 0.9698, 0.7091, 0.9526, 0.9715, 0.9647]",186.08,50,50,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_00001.yaml,11980586
2026-04-21T02:17:47.031383,ablation_lr_001,simple_cnn,adamw,0.01,128,0.3,none,he,0.9028,0.90134,"[0.8546, 0.9883, 0.8628, 0.8812, 0.8562, 0.975, 0.7065, 0.9485, 0.9847, 0.9557]",54.36,14,9,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_001.yaml,11980588
2026-04-21T02:19:40.269426,ablation_lr_01,simple_cnn,adamw,0.1,128,0.3,none,he,0.6595,0.67158,"[0.4645, 0.9606, 0.4078, 0.7626, 0.4732, 0.7783, 0.4325, 0.752, 0.856, 0.8283]",50.44,13,8,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_01.yaml,11980589
2026-04-21T02:22:42.443616,ablation_optimizer_adamw,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",115.09,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adamw.yaml,11980590
2026-04-21T02:25:24.839460,ablation_optimizer_adam,simple_cnn,adam,0.001,128,0.3,none,he,0.9178,0.91729,"[0.8786, 0.9893, 0.8724, 0.9107, 0.8747, 0.9794, 0.7568, 0.9608, 0.9836, 0.9666]",128.96,33,28,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adam.yaml,11980591
2026-04-21T02:29:29.018354,ablation_optimizer_sgd_momentum,simple_cnn,sgd_momentum,0.001,128,0.3,none,he,0.8915,0.89209,"[0.8337, 0.9873, 0.8477, 0.8955, 0.8421, 0.9617, 0.6914, 0.9403, 0.9723, 0.949]",189.52,50,49,207018,1293312,49.3,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_sgd_momentum.yaml,11980592
2026-04-21T02:33:30.188963,ablation_optimizer_sgd,simple_cnn,sgd,0.001,128,0.3,none,he,0.8483,0.84668,"[0.8067, 0.974, 0.7569, 0.8589, 0.7744, 0.9277, 0.5819, 0.9007, 0.9506, 0.9351]",187.31,50,50,207018,1293312,48.5,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_sgd.yaml,11980593
2026-04-21T02:35:25.265091,baseline_deeper_cnn,deeper_cnn,adamw,0.001,128,0.3,none,he,0.9278,0.92827,"[0.8769, 0.9893, 0.8934, 0.9224, 0.9001, 0.9833, 0.7973, 0.9642, 0.9903, 0.9654]",74.84,17,12,299114,30313984,163.7,NVIDIA A100-SXM4-80GB,42,baseline_deeper_cnn.yaml,11980594
2026-04-21T02:37:02.219750,baseline_mlp,mlp,adamw,0.001,128,0.3,none,he,0.8832,0.88298,"[0.827, 0.9819, 0.8173, 0.8833, 0.8269, 0.9456, 0.6919, 0.9391, 0.9697, 0.947]",65.32,19,14,535818,535040,28.6,NVIDIA A100-SXM4-80GB,42,baseline_mlp.yaml,11980595
2026-04-21T02:39:46.683263,baseline_simple_cnn,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",116.69,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,baseline_simple_cnn.yaml,11980596
